label	text_a
1025	白石岭长城
641	白石岭长城 五顶庙
742	白石岭长城 五顶庙 首云铁矿公园
819	白石岭长城 五顶庙 首云铁矿公园 白岭关长城
295	皇城艺术馆
269	皇城艺术馆 水库周边景观带状公园
213	皇城艺术馆 水库周边景观带状公园 成贤街
268	崇文门堂
365	灵鹫禅寺
137	湖山真意
778	湖山真意 传统四合院
272	湖山真意 传统四合院 东小口森林公园
720	湖山真意 传统四合院 东小口森林公园 长安街
777	民族文化宫
233	平西抗日纪念馆
522	平西抗日纪念馆 宋庄画家村画廊
715	平西抗日纪念馆 宋庄画家村画廊 配位燎炉
976	平西抗日纪念馆 宋庄画家村画廊 配位燎炉 云蒙三峪景区
290	大葆台西汉墓
642	大葆台西汉墓 紫气东来城关
265	大葆台西汉墓 紫气东来城关 仙峰谷
1067	大葆台西汉墓 紫气东来城关 仙峰谷 奥林匹克水上公园
66	国子监街
1027	国子监街 卢沟桥
1052	南宫地热博览园
944	南宫地热博览园 金炉圣母铸钟娘娘庙
597	南宫地热博览园 金炉圣母铸钟娘娘庙 白水寺
693	盛世天空美术馆
522	东四十四条胡同
269	东四十四条胡同 配位燎炉
913	东四十四条胡同 配位燎炉 成贤街
786	东四十四条胡同 配位燎炉 成贤街 史家胡同
420	798幻艺术中心夜殿
370	798幻艺术中心夜殿 总理各国事务衙门建筑遗存
520	东岳庙(北京民俗博物馆)
1037	东岳庙(北京民俗博物馆) 鸡冠山
981	东岳庙(北京民俗博物馆) 鸡冠山 洵贝勒府
531	十渡风景名胜区
584	清华大学艺术博物馆
905	清华大学艺术博物馆 车耳营民俗旅游专业村
618	清华大学艺术博物馆 车耳营民俗旅游专业村 湖景水上乐园
673	国子监街
267	凡花小筑
119	百泉山
678	当铺李
266	当铺李 物流博物馆
69	汤河古寨
1099	汤河古寨 香山公园
263	蔡元培故居
940	蔡元培故居 七里渠农场
710	廓然大公
905	廓然大公 碧海公园
558	廓然大公 碧海公园 湖景水上乐园
592	廓然大公 碧海公园 湖景水上乐园 北京工人俱乐部金沙剧场杂技
1071	五道口魔幻3D艺术馆
15	五道口魔幻3D艺术馆 文峰塔
441	五道口魔幻3D艺术馆 文峰塔 古北水镇
356	古北口长城
841	古北口长城 二锅头酒博物馆
1074	燕城古街
555	小龙华寺
529	小龙华寺 佛香阁
626	小龙华寺 佛香阁 先声画廊
620	顺天府大堂
1040	顺天府大堂 红螺湖鸟岛景区
1138	顺天府大堂 红螺湖鸟岛景区 照塔
884	顺天府大堂 红螺湖鸟岛景区 照塔 顺义生命安全体验馆
1031	明十三陵
270	明十三陵 中华文化园
20	明十三陵 中华文化园 龙潭公园
1019	明十三陵 中华文化园 龙潭公园 五道营胡同
806	金河堤碑
810	金河堤碑 港中旅南山房车小镇
778	紫气东来城关
872	洪水口村
739	西单
708	西单 千尺珍珠瀑
832	下寺石塔
1061	中国民兵武器装备陈列馆
471	中国民兵武器装备陈列馆 隆安寺
100	中国民兵武器装备陈列馆 隆安寺 考拉大冒险儿童主题乐园
690	中国民兵武器装备陈列馆 隆安寺 考拉大冒险儿童主题乐园 鸟巢3D美术馆
426	京东大峡谷
978	京东大峡谷 密云人间花海薰衣草庄园
729	京东大峡谷 密云人间花海薰衣草庄园 万柳堂旧址
138	松堂斋民间雕刻博物馆
154	松堂斋民间雕刻博物馆 红螺寺
984	松堂斋民间雕刻博物馆 红螺寺 五棵松
410	松堂斋民间雕刻博物馆 红螺寺 五棵松 圣安寺遗址
162	鼓楼
1098	鼓楼 京杭大运河
467	鼓楼 京杭大运河 孚王府
440	鼓楼 京杭大运河 孚王府 华韵·安徽非遗馆
592	定陵地下宫殿
788	定陵地下宫殿 普拉托休闲度假小镇
1001	中国宋庆龄青少年科技文化交流中心
805	南锣鼓巷
680	南锣鼓巷 五道庙
822	南锣鼓巷 五道庙 中捷当代美术馆
19	定都阁
212	定都阁 北海公园
184	定都阁 北海公园 古观象台
668	定都阁 北海公园 古观象台 未名湖
455	香山公园
1101	香山公园 北京旅游集散中心
346	香山公园 北京旅游集散中心 上宅文化陈列馆
467	香山公园 北京旅游集散中心 上宅文化陈列馆 潮白河
523	博雅塔
79	博雅塔 世界公园欧洲区
495	博雅塔 世界公园欧洲区 太和殿
629	博雅塔 世界公园欧洲区 太和殿 咱家农场
103	十渡仙西山
141	十渡仙西山 潘家园
79	十渡仙西山 潘家园 中华世纪坛
626	陶然亭公园
726	陶然亭公园 瑞丰农庄
39	北京圣泉山旅游风景区
584	北京圣泉山旅游风景区 温都水城温泉
963	松堂斋民间雕刻博物馆
791	松堂斋民间雕刻博物馆 沟崖自然风景区
903	黑山公园
332	黑山公园 和敬公主府
787	黑山公园 和敬公主府 暗夜古堡鬼屋
1145	黑山公园 和敬公主府 暗夜古堡鬼屋 汤市街
233	永顺染坊
465	永顺染坊 宋庄画家村画廊
916	永顺染坊 宋庄画家村画廊 水魔力动漫水上乐园
971	莲花池公园
18	莲花池公园 金绿园
814	北京熊猫馆
305	北京熊猫馆 神路公园
205	北京动物园
1016	北京动物园 孔庙和国子监博物馆
474	北京动物园 孔庙和国子监博物馆 香麓园
810	智化寺
616	镇江营遗址
1043	镇江营遗址 斋堂水库
952	迷你世界
1057	中国民兵武器装备陈列馆
297	十渡龙盛游乐园
864	东安门夜市
930	刘贲故里
107	刘贲故里 小龙门森林公园
922	刘贲故里 小龙门森林公园 定陵
402	九州景区
77	上方山国家森林公园
109	上方山国家森林公园 中国航空博物馆
1101	上方山国家森林公园 中国航空博物馆 珍宝馆
1137	上方山国家森林公园 中国航空博物馆 珍宝馆 上宅文化陈列馆
19	老车站食街
41	小龙门森林公园
384	西单
239	奇安艺术馆
369	奇安艺术馆 北京市劳动人民文化宫
1122	金海湖水上嘉年华
1096	金海湖水上嘉年华 儿童探险乐园
648	琉璃窑遗址
1029	五道庙
1065	五道庙 摩诃庵
1008	五道庙 摩诃庵 希望公园
394	永顺染坊
235	永顺染坊 大戏楼
886	永顺染坊 大戏楼 东坝郊野公园
569	永顺染坊 大戏楼 东坝郊野公园 清真寺
144	乌龙峡谷
309	乌龙峡谷 北大红楼
1036	法海寺
433	法海寺 白岭关
554	中国现代文学馆
17	中国现代文学馆 后海野鸭岛
1033	天香牡丹园
1034	西单
301	西单 汉经厂与番经厂旧址
269	西单 汉经厂与番经厂旧址 石佛寺
175	西单 汉经厂与番经厂旧址 石佛寺 成贤街
355	瑞麟湾-欢乐岛水上乐园
781	瑞麟湾-欢乐岛水上乐园 博速卡丁车俱乐部
716	鸟巢3D美术馆
143	鸟巢3D美术馆 御桃缘婚纱摄影主题公园
689	鸟巢3D美术馆 御桃缘婚纱摄影主题公园 灵水村
806	中国西瓜博物馆
238	中国西瓜博物馆 港中旅南山房车小镇
497	中国西瓜博物馆 港中旅南山房车小镇 日月岛广场
764	百泉山
136	雁栖湖
239	雁栖湖 梅兰芳纪念馆
858	雁栖湖 梅兰芳纪念馆 北京市劳动人民文化宫
211	月老祠
547	奥肯尼克农场
140	奥肯尼克农场 智慧海
943	奥肯尼克农场 智慧海 玉渡山景区
18	奥肯尼克农场 智慧海 玉渡山景区 妫河漂流
905	天地剧场
494	天地剧场 湖景水上乐园
687	天地剧场 湖景水上乐园 平谷徒步大道
371	天地剧场 湖景水上乐园 平谷徒步大道 天溪庵
1097	八达岭长城
298	八达岭长城 中国现代文学馆
907	八达岭长城 中国现代文学馆 地铁北土城站
585	宛平城
835	八旗会馆
710	八旗会馆 施家胡同
457	八旗会馆 施家胡同 碧海公园
44	八旗会馆 施家胡同 碧海公园 不老湖风景区
307	三峪风景区
888	三峪风景区 八达岭国家森林公园
821	十渡拒马乐园
470	十渡拒马乐园 月坛公园
282	十渡拒马乐园 月坛公园 万科翡翠书院
903	仙峰谷
491	仙峰谷 和敬公主府
975	仙峰谷 和敬公主府 古道博物馆
979	仙峰谷 和敬公主府 古道博物馆 白羊沟
1038	西海子公园
567	西海子公园 沈家本故居
520	长峪城长城
268	火器营旧址
1002	宋庄画家村画廊
272	宋庄画家村画廊 双寺
683	高碑店国际民俗旅游村
237	高碑店国际民俗旅游村 大云峰寺
485	千尺珍珠瀑
14	千尺珍珠瀑 高碑店国际民俗旅游村
352	上方山国家森林公园
136	上方山国家森林公园 第零空间
163	航空学会北京航空馆
833	举人宅院
739	举人宅院 陕西巷
197	举人宅院 陕西巷 千尺珍珠瀑
999	举人宅院 陕西巷 千尺珍珠瀑 挑战与未来
297	北京电影旅游城
1005	北京电影旅游城 近春园
483	湖洞水景区
171	湖洞水景区 琉璃渠关帝庙
464	硅化木国家地质公园
258	天地剧场
515	天地剧场 中央美术学院美术馆
1092	皇乾殿
808	皇乾殿 和平寺
887	皇乾殿 和平寺 房山百花山景区
311	皇乾殿 和平寺 房山百花山景区 李大钊故居
532	中国现代文学馆
822	中国现代文学馆 德和园
89	中国现代文学馆 德和园 云蒙山森林公园
359	紫气东来城关
365	紫气东来城关 西直门天主堂
474	紫气东来城关 西直门天主堂 北京林业大学
984	紫气东来城关 西直门天主堂 北京林业大学 什刹海西海湿地公园
80	海淀剧院
611	北顶娘娘庙
611	潮白河
706	中国西瓜博物馆
292	中国西瓜博物馆 奥肯尼克农场
1009	中国西瓜博物馆 奥肯尼克农场 定陵地下宫殿
338	中国西瓜博物馆 奥肯尼克农场 定陵地下宫殿 草岚子监狱旧址
745	红叶岭
174	红叶岭 平北抗日战争纪念馆
712	石峡关长城(残长城)
717	石峡关长城(残长城) 凡花小筑
272	石峡关长城(残长城) 凡花小筑 雾灵西峰风景区
398	京杭大运河
1072	京杭大运河 三里屯银杏大道
369	京杭大运河 三里屯银杏大道 天华洞
324	普度寺
113	普度寺 人定湖公园
690	普度寺 人定湖公园 交泰殿
500	普度寺 人定湖公园 交泰殿 岔道古城
876	李鸿章祠堂
47	李鸿章祠堂 圆明园皇家皮影戏苑
320	门头沟云水间温泉
260	合肥园
358	合肥园 奥北梦幻雪世界
108	合肥园 奥北梦幻雪世界 中国儿童中心剧院
374	合肥园 奥北梦幻雪世界 中国儿童中心剧院 法源寺
290	举人宅院
776	举人宅院 紫气东来城关
376	举人宅院 紫气东来城关 云蒙山长城遗址公园
242	雪山文化遗址
107	三里屯
876	三里屯 定陵
1047	白石岭长城
1035	布拉格农场
653	布拉格农场 白塔庵塔
813	布拉格农场 白塔庵塔 互润农业生态园
725	布拉格农场 白塔庵塔 互润农业生态园 回龙观公园
1030	蟹岛嘉年华
720	蟹岛嘉年华 基督教青年会旧址
456	中国科学院植物研究所北京植物园
631	中国科学院植物研究所北京植物园 翠明庄
735	燕城古街
287	燕城古街 白石岭长城
1124	燕城古街 白石岭长城 临漪榭
584	燕城古街 白石岭长城 临漪榭 合肥园
834	明康陵
37	明康陵 缸瓦市堂
460	明康陵 缸瓦市堂 北京动物园
705	水立方（国家游泳中心）
621	智慧谷
77	智慧谷 飞龙谷
239	智慧谷 飞龙谷 中国航空博物馆
940	798幻艺术中心夜殿
408	798幻艺术中心夜殿 北京文津街
1028	京外萄源祥莱堡红酒庄园
391	京外萄源祥莱堡红酒庄园 王佐乡
458	京外萄源祥莱堡红酒庄园 王佐乡 古崖居风景区
555	首云铁矿公园
589	首云铁矿公园 佛香阁
1103	首云铁矿公园 佛香阁 圜丘
1008	首云铁矿公园 佛香阁 圜丘 蒲阳会馆旧址
587	中国美术馆
750	中国美术馆 中央音乐学院
1141	中国美术馆 中央音乐学院 梨园主题公园
24	双龙山森林公园
225	顺天府大堂
101	顺天府大堂 盛世天空美术馆
972	恭王府
813	恭王府 四季青樱桃园
242	恭王府 四季青樱桃园 回龙观公园
859	希望公园
586	石峡关长城(残长城)
972	石峡关长城(残长城) 北京西山国家森林公园
687	石峡关长城(残长城) 北京西山国家森林公园 四季青樱桃园
1007	石峡关长城(残长城) 北京西山国家森林公园 四季青樱桃园 天溪庵
645	北新仓
40	北新仓 平西抗日纪念馆
75	北新仓 平西抗日纪念馆 水立方（国家游泳中心）
749	北新仓 平西抗日纪念馆 水立方（国家游泳中心） 中国人民革命军事博物馆
66	顺天府大堂
637	顺天府大堂 卢沟桥
368	顺天府大堂 卢沟桥 将军关长城
496	顺天府大堂 卢沟桥 将军关长城 北京彩虹庄园
493	丫髻山
852	丫髻山 燃灯佛舍利塔
515	玛莱特红酒庄园
676	玛莱特红酒庄园 中国古代青铜器艺术
134	韩美林艺术馆
1097	韩美林艺术馆 东方普罗旺斯薰衣草庄园
393	华侨城英派斯健身游泳馆
807	崇文门堂
909	水库周边景观带状公园
1073	水库周边景观带状公园 海淀公共安全馆
691	水库周边景观带状公园 海淀公共安全馆 应公长老寿塔
57	红螺慧缘谷
821	日月岛广场
759	日月岛广场 月坛公园
1081	日月岛广场 月坛公园 北京七渡花果山
1004	帝王树
1122	国子监街
482	国子监街 儿童探险乐园
616	国子监街 儿童探险乐园 五道口魔幻3D艺术馆
172	国子监街 儿童探险乐园 五道口魔幻3D艺术馆 斋堂水库
263	石峡关长城(残长城)
233	石峡关长城(残长城) 七里渠农场
842	石峡关长城(残长城) 七里渠农场 宋庄画家村画廊
323	大兴体育局游乐场
681	大兴体育局游乐场 莲花池公园
555	大兴体育局游乐场 莲花池公园 念坛公园
295	华韵·一金学社
339	华韵·一金学社 水库周边景观带状公园
310	华韵·一金学社 水库周边景观带状公园 航空航天博物馆
507	华韵·一金学社 水库周边景观带状公园 航空航天博物馆 北京常青藤冰雪嘉年华
1040	循郡王府
1009	普度寺
1111	普度寺 草岚子监狱旧址
753	天香牡丹园
657	天香牡丹园 马致远故居
335	定都阁
993	桂公府
656	桂公府 妇女儿童活动中心
693	桂公府 妇女儿童活动中心 飞鸿世纪园
87	桂公府 妇女儿童活动中心 飞鸿世纪园 通州博物馆
354	燕城古街
682	燕城古街 明康陵
78	燕城古街 明康陵 怡园公园
559	燕城古街 明康陵 怡园公园 鸦儿胡同
587	京外萄源祥莱堡红酒庄园
1008	中华圣公会救主堂
440	慕田峪长城
431	慕田峪长城 郭沫若纪念馆
304	慕田峪长城 郭沫若纪念馆 张之洞旧宅
267	双寺
674	北京野生动物园猛兽体验区
7	北京野生动物园猛兽体验区 冀热察挺进军司令部旧址陈列馆
73	北京野生动物园猛兽体验区 冀热察挺进军司令部旧址陈列馆 798艺术区
810	北京野生动物园猛兽体验区 冀热察挺进军司令部旧址陈列馆 798艺术区 坤宁宫
97	百泉山
100	百泉山 古北古镇
1135	百泉山 古北古镇 鸟巢3D美术馆
1050	百泉山 古北古镇 鸟巢3D美术馆 2018雁栖岛优雅大展
294	洪承畴宅
1066	洪承畴宅 南宫鹦鹉园
1038	洪承畴宅 南宫鹦鹉园 都城隍庙大殿
644	山顶教堂
645	山顶教堂 密云曹家路营城遗址
937	全民畅读书店
273	蓟城纪念柱
18	蓟城纪念柱 大钟寺
307	蓟城纪念柱 大钟寺 北京大学
930	三教庙
300	蟹岛嘉年华
751	蟹岛嘉年华 白云观
1072	蟹岛嘉年华 白云观 大运河森林公园
997	挂甲峪山庄
646	挂甲峪山庄 晏公祠
731	龙泉庵
140	顺天府大堂
752	顺天府大堂 玉渡山景区
593	顺天府大堂 玉渡山景区 天香牡丹园
148	顺天府大堂 玉渡山景区 天香牡丹园 康顺达生态园
18	古月堂
888	古月堂 北京大学
583	蔡元培故居
775	蔡元培故居 西洋楼
713	蔡元培故居 西洋楼 白水寺森林公园
910	蔡元培故居 西洋楼 白水寺森林公园 康顺达农场
647	白龙潭皇家森林公园
105	白龙潭皇家森林公园 洪水口村
420	梅兰芳大剧院
103	梅兰芳大剧院 总理各国事务衙门建筑遗存
2	森鑫森林公园
745	朝阳寺
204	朝阳寺 平北抗日战争纪念馆
457	梅兰芳纪念馆
1144	汉经厂与番经厂旧址
504	松山自然保护区
615	丫髻山
298	丫髻山 硅化木国家地质公园
108	丫髻山 硅化木国家地质公园 地铁北土城站
34	灵鹫禅寺
899	灵鹫禅寺 王府井
811	灵鹫禅寺 王府井 白龙潭皇家森林公园
206	灵鹫禅寺 王府井 白龙潭皇家森林公园 御竹林
295	北京语言大学
263	北京语言大学 水库周边景观带状公园
12	北京语言大学 水库周边景观带状公园 七里渠农场
1138	北京语言大学 水库周边景观带状公园 七里渠农场 什刹海
462	香草世界
176	香草世界 西峰寺
534	香草世界 西峰寺 神泉峡风景区
922	榆河桥
270	中国古代佛造像艺术馆
657	中国古代佛造像艺术馆 龙潭公园
83	中国古代佛造像艺术馆 龙潭公园 香岩寺遗址
744	慕田峪长城
905	慕田峪长城 密云白龙潭
778	慕田峪长城 密云白龙潭 湖景水上乐园
123	航天主题园
113	上方山国家森林公园
769	龙云山风景区
642	龙云山风景区 森鑫森林公园
484	龙云山风景区 森鑫森林公园 仙峰谷
1101	北京汽车博物馆
1038	北京汽车博物馆 上宅文化陈列馆
591	北京汽车博物馆 上宅文化陈列馆 沈家本故居
197	震远镖局
817	震远镖局 挑战与未来
812	中华圣经会旧址
174	中华圣经会旧址 蓝天牧场风景区
80	中华圣经会旧址 蓝天牧场风景区 中央戏剧学院
344	中华圣经会旧址 蓝天牧场风景区 中央戏剧学院 角楼
674	北京野生动物园猛兽体验区
1071	北京野生动物园猛兽体验区 冀热察挺进军司令部旧址陈列馆
16	北京野生动物园猛兽体验区 冀热察挺进军司令部旧址陈列馆 文峰塔
394	多宝琉璃塔
1132	多宝琉璃塔 大戏楼
77	多宝琉璃塔 大戏楼 山海经传习馆
722	多宝琉璃塔 大戏楼 山海经传习馆 中国航空博物馆
625	慈悲庵
53	你，我的缪斯
886	你，我的缪斯 八达岭野生动物世界
195	恭俭胡同
471	恭俭胡同 醇亲王府
243	恭俭胡同 醇亲王府 考拉大冒险儿童主题乐园
1043	恭俭胡同 醇亲王府 考拉大冒险儿童主题乐园 老爷车博物馆
814	双寺
596	双寺 神路公园
816	日月岛广场
658	日月岛广场 保和殿
979	日月岛广场 保和殿 关沟大神木
531	日月岛广场 保和殿 关沟大神木 圣泉山观音寺
34	金河堤碑
1125	金河堤碑 王府井
361	金河堤碑 王府井 华韵·宜兴传统文化馆
1039	昊天公园
531	昊天公园 青龙湖
595	昊天公园 青龙湖 铜牛
49	京东大峡谷
851	京东大峡谷 龙庆峡
1014	京东大峡谷 龙庆峡 阳台山自然风景区
791	京东大峡谷 龙庆峡 阳台山自然风景区 绍兴会馆旧址
747	妇女儿童活动中心
1012	妇女儿童活动中心 白乙化烈士纪念馆
980	妇女儿童活动中心 白乙化烈士纪念馆 南正行官旧址
568	妇女儿童活动中心 白乙化烈士纪念馆 南正行官旧址 端郡王府
230	首云铁矿公园
358	首云铁矿公园 皇城艺术馆
867	刘贲故里
37	刘贲故里 社稷坛
169	刘贲故里 社稷坛 北京动物园
984	七里渠农场
808	清华大学艺术博物馆
306	清华大学艺术博物馆 房山百花山景区
251	梅兰芳大剧院
1042	大兴体育局游乐场
53	大兴体育局游乐场 将军坨
289	云龙涧
259	万寿山
770	郭守敬纪念馆
940	郭守敬纪念馆 燕怡园
270	郭守敬纪念馆 燕怡园 北京文津街
23	郭守敬纪念馆 燕怡园 北京文津街 龙潭公园
1009	华韵·东品心流体验馆
1044	华韵·东品心流体验馆 草岚子监狱旧址
99	北京西山国家森林公园
810	湖洞水景区
460	湖洞水景区 京东大溶洞
246	湖洞水景区 京东大溶洞 原始部落游乐园
504	湖洞水景区 京东大溶洞 原始部落游乐园 广济寺
299	普渡寺
42	普渡寺 北京喇叭沟原始森林公园
807	虎峪
650	虎峪 延庆博物馆
844	虎峪 延庆博物馆 庄士敦别墅
428	虎峪 延庆博物馆 庄士敦别墅 一尺大街
651	北京动物园
982	北京动物园 琉璃河商周遗址
232	红砖美术馆
145	红砖美术馆 郁金香摩锐水世界
1108	红砖美术馆 郁金香摩锐水世界 朝阳公园
86	红砖美术馆 郁金香摩锐水世界 朝阳公园 香逸葡萄大观园
400	王府井
337	王府井 密云蔡家洼农业生态园
643	陕西巷
651	陕西巷 唐指山风景区
845	陕西巷 唐指山风景区 琉璃河商周遗址
206	陕西巷 唐指山风景区 琉璃河商周遗址 中国钱币博物馆
210	大钟寺
164	王佐乡
72	王佐乡 后圆恩寺胡同
1064	老北京微缩景园
45	老北京微缩景园 石城乡
838	崇文门堂
853	崇文门堂 长安大戏院
469	崇文门堂 长安大戏院 皇城根遗址公园
949	崇文门堂 长安大戏院 皇城根遗址公园 泰山皮影传习体验馆
610	上庄水库
321	灵鹫禅寺
610	灵鹫禅寺 汉石桥湿地
1099	灵鹫禅寺 汉石桥湿地 虎峪
128	华侨城英派斯健身游泳馆
842	华侨城英派斯健身游泳馆 房山世界地质公园
1133	华侨城英派斯健身游泳馆 房山世界地质公园 碧云寺
13	华侨城英派斯健身游泳馆 房山世界地质公园 碧云寺 爱琴海亲子萌宠动物园
